response,anchor,model,n,rmse,mae,scaled_mae,r2
lambda_wmean,nearest45,plot_depth_mean,118,0.00312330847862046,0.00240527988709303,0.626584953323873,0.332341181431089
lambda_wmean,nearest45,calendar,118,0.00406282286222602,0.00324153697552688,0.844433242637246,-0.129745459633305
lambda_wmean,nearest45,structure_calendar,118,0.00364832855503011,0.00295184770150568,0.768968037438041,0.0890118787025534
lambda_wmean,nearest45,structure_calendar_climate,118,0.00358905987461465,0.00294271859738326,0.766589869595233,0.118370250702633
lambda_wmean,nearest45,structure_calendar_climate_bgc,118,0.00368815470923587,0.00294143713190123,0.766256042753062,0.0690141288539737
richness,nearest45,linear90,48,378.819191826709,245.935767691472,0.357329989445839,0.676635259202708
richness,nearest45,nearest45,117,441.954526415109,288.247863247863,0.418806938490372,0.584109894572982
richness,nearest45,global_mean,117,693.001822338649,471.016457700316,0.684358795952017,-0.0225679317410572
richness,nearest45,depth_mean,117,636.52490637694,386.553473897221,0.561639122460739,0.13731108237227
richness,nearest45,trt_depth_mean,117,604.066571845659,356.37566639559,0.517792569609654,0.223050087765867
richness,nearest45,plot_depth_mean,117,565.818532038112,293.512802252735,0.42645658057661,0.318324397164875
richness,nearest45,calendar,117,805.839472725697,562.668951069063,0.817524397668089,-0.382676205616767
richness,nearest45,structure_calendar,117,618.845719045336,358.848040452517,0.521384781527264,0.184567160474389
richness,nearest45,structure_calendar_climate,117,655.111977716443,414.3824088787,0.602072903754788,0.0861929686634267
richness,nearest45,structure_calendar_climate_bgc,117,669.673378810916,434.122868360035,0.630754612984535,0.0451184862697073
shannon_classes,nearest45,linear90,48,0.1223502499138,0.0941752384500909,0.60585585130296,0.394476095508467
shannon_classes,nearest45,nearest45,117,0.148219805669765,0.113518503851008,0.73029652933387,0.082923620387552
shannon_classes,nearest45,global_mean,117,0.15625084902839,0.124821504914546,0.803011920813943,-0.0191492764974242
shannon_classes,nearest45,depth_mean,117,0.149614977139044,0.120836404858096,0.777374648990019,0.0655777526327611
shannon_classes,nearest45,trt_depth_mean,117,0.139301309403057,0.111539007465473,0.717561871184367,0.189965667885609
shannon_classes,nearest45,plot_depth_mean,117,0.130111675415012,0.104247717546102,0.670654948155567,0.293315497869348
shannon_classes,nearest45,calendar,117,0.176042280667323,0.137805511846761,0.886541696821993,-0.293680408917193
shannon_classes,nearest45,structure_calendar,117,0.138851158908582,0.110091018410193,0.708246549490448,0.195192441361094
shannon_classes,nearest45,structure_calendar_climate,117,0.14524331422266,0.115422757140686,0.742547127441203,0.119386519687773
shannon_classes,nearest45,structure_calendar_climate_bgc,117,0.145827888680593,0.11794362957612,0.758764610301152,0.112283678489116
evenness,nearest45,linear90,48,0.0748266954465109,0.0534921320065015,0.481823097899728,0.619681443239756
evenness,nearest45,nearest45,117,0.0834472303963879,0.0622119806244225,0.560365947412489,0.430167595474667
evenness,nearest45,global_mean,117,0.111057294798547,0.0902166103618326,0.812613837886808,-0.00929348361971583
evenness,nearest45,depth_mean,117,0.0971068598352426,0.0788735241064891,0.710442532420255,0.228345115915205
