scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,17,28,1.29007661683206,-0.290076616832061,0.0592583128939369,10-30 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,21,70,1.00058282423006,-0.000582824230061174,0.030160705397148,10-30 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,35,126,0.880808576149768,0.119191423850232,0.0561197732176689,10-30 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,62,266.5,0.573352639591894,0.426647360408106,0.0462344550501049,10-30 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,237,925,1.1083556725109,-0.108355672510905,0.0581631111808301,10-30 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,13,27,0.954905685778614,0.0450943142213862,0.02176568547654,10-30 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,19,70,1.08909632001722,-0.0890963200172246,0.05135172824475,10-30 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,31,140,0.843964619169465,0.156035380830535,0.056561704438902,10-30 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,59,267,1.00804695749789,-0.00804695749789364,0.04893090690669,10-30 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,190,881,1.01713538062064,-0.01713538062064,0.052275656783407,10-30 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,28,27,0.361056127016167,0.638943872983833,0.017993608979017,0-10 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,23,70,0.889692673436828,0.110307326563172,0.024851827576531,0-10 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,36,135,0.984802283339989,0.0151977166600107,0.0280974342783575,0-10 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,67,267,0.647049579098988,0.352950420901012,0.024045275270253,0-10 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,326,954,1.13687819924733,-0.136878199247327,0.0395740604119695,0-10 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,27,27,0.476499774705317,0.523500225294683,0.027765161426579,0-10 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,22,70.5,0.237058050402696,0.762941949597304,0.0296019674884905,0-10 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,36,135,0.262818843861219,0.737181156138781,0.0249652911468055,0-10 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,66,267,0.493732234854911,0.506267765145089,0.02902785197193,0-10 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,317,938,1.28666064067719,-0.28666064067719,0.079828599452623,0-10 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,17,28,1.29759710360802,-0.297597103608018,0.016721788483451,10-30 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,21,70,1.65786642303993,-0.657866423039926,0.021718214870295,10-30 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,35,126,0.652180529455825,0.347819470544175,0.025942309792231,10-30 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,62,266.5,0.707177054585584,0.292822945414416,0.0233830197716605,10-30 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,237,925,1.04833062632728,-0.0483306263272794,0.027799804799395,10-30 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,13,27,0.758781565012156,0.241218434987844,0.02209193513449,10-30 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,19,70,0.658871132207092,0.341128867792908,0.018056451899736,10-30 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,31,140,0.497057604952998,0.502942395047002,0.030392575712548,10-30 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,59,267,0.917008263284255,0.082991736715745,0.020347816025505,10-30 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,190,881,1.15844744660839,-0.158447446608385,0.0364345016074795,10-30 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,28,27,0.415983998919945,0.584016001080055,0.0273821920138345,0-10 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,23,70,0.880842439153795,0.119157560846205,0.040380343565458,0-10 cm,Control
